"","ODT","Mes","Tiempo"
"1","ACH Foods / Twinings / Pitch",6,60
"2","Apple / Apple Music / Reportes 2018",6,1380
"3","Apple / Apple Music / Reportes 2019",6,825
"4","Apple / BI / Actividades",6,45
"5","Blason / Estrategia Digital / Pauta 2019",6,270
"6","Blason / Estrategia Digital 2019 / Reportes",6,390
"7","Generación de leads Toyota Saltillo",6,630
"8","INVEX / Komodo / Sitio y Estrategia",6,60
"9","Lunave / BI / Varios",6,7380
"10","Lunave / Interno / Procesos",6,2385
"11","Lunave / Interno / Work Smarter Not Harder",6,45
"12","Lunave / LORD / Plataforma interna",6,45
"13","MSD / Club Ganadero / Sitio web",6,450
"14","MSD / Reportes / Reportes 2018",6,75
"15","MSD/ CLUB GANADERO/ PAUTA JUNIO",6,90
"16","MSD/ CLUB GANADERO/ PAUTA MAYO",6,630
"17","MSD/ CLUB GANADERO/ REPORTES 2019",6,1530
"18","Pitch Superama",6,660
"19","Pitch Walmart Ecommerce",6,240
"20","Rich's / Pauta Always on y campaña de marcas / Materiales 2019",6,1380
"21","Rich's / Reportes / Entregables 2019",6,390
"22","Richs / Reportes / Reportes 2018",6,825
"23","Singer / Agendas / Reportes 2019",6,915
"24","Singer / BI / Materiales de Pauta 2019",6,405
"25","Singer / Reportes / Reportes 2018",6,90
"26","Toyota / Estrategia Digital / FY20",6,1815
"27","Toyota / Pauta / Julio 2019",6,180
"28","Toyota / Pauta / Junio 2019",6,2700
"29","Toyota / Reportes / Mayo",6,4515
"30","Toyota / Reportes / Reportes Toyota 2018",6,90
"31","Toyota / Takata 2019 / Reportes",6,60
"32","Walmart / Estrategia Digital / Juntas con Cliente 2019",6,345
"33","Walmart / Estrategia Digital / Plan de Medios 2019",6,120
"34","Walmart / Estrategia Digital / Reporte Anual 2019",6,60
"35","Walmart / Estrategia Digital / Reportes Mensuales 2019",6,885
"36","Zuma / Energía / Sitio",6,60
"37","Apple / App Store / Reportes 2019",7,990
"38","Apple / Apple Music / Reportes 2019",7,1380
"39","Apple / BI / Actividades",7,60
"40","Blason / Estrategia Digital / Pauta 2019",7,645
"41","Blason / Estrategia Digital / Reportes 2019",7,315
"42","Blason / Estrategia Digital 2019 / Reportes",7,810
"43","Generación de leads Toyota Saltillo",7,450
"44","Herdez / Saber Nutrir / Estrategia RRSS",7,240
"45","INVEX / Komodo / Sitio y Estrategia",7,750
"46","Lunave / BI / Varios",7,8490
"47","Lunave / Interno / Procesos",7,1395
"48","Lunave / LORD / Plataforma interna",7,2055
"49","MSD / Club Ganadero / Estrategia",7,225
"50","MSD / Club Ganadero / Sitio web",7,810
"51","MSD/ CLUB GANADERO/ REPORTES 2019",7,1080
"52","PITCH GREAT VALUE",7,210
"53","Rich's / Pauta Always on y campaña de marcas / Materiales 2019",7,1320
"54","Rich's / Reportes / Entregables 2019",7,840
"55","Rich's México / Pitch / Estrategia digital",7,60
"56","Singer / Agendas / Reportes 2019",7,1455
"57","Singer / BI / Materiales de Pauta 2019",7,570
"58","Toyota / Estrategia Digital / FY20",7,1065
"59","Toyota / Pauta / Agosto 2019",7,360
"60","Toyota / Pauta / Julio 2019",7,1515
"61","Toyota / Pauta / Junio 2019",7,480
"62","Toyota / Reportes / Julio",7,3675
"63","Toyota / Reportes / Junio",7,1785
"64","Toyota / Takata 2019 / Reportes",7,360
"65","Walmart / Estrategia Digital / Juntas con Cliente 2019",7,345
"66","Walmart / Estrategia Digital / Plan de Medios 2019",7,1530
"67","Walmart / Estrategia Digital / Reportes Mensuales 2019",7,3675
"68","Blason / Estrategia Digital / Pauta 2019",8,60
"69","Blason / Estrategia Digital 2019 / Reportes",8,60
"70","Herdez / Saber Nutrir / Estrategia RRSS",8,90
"71","Lunave / BI / Varios",8,345
"72","Lunave / Interno / Procesos",8,30
"73","Lunave / LORD / Plataforma interna",8,480
"74","MSD / Club Ganadero / Estrategia",8,15
"75","MSD / Club Ganadero / Sitio web",8,60
"76","Singer / Agendas / Reportes 2019",8,45
"77","Toyota / Estrategia Digital / FY20",8,30
"78","Toyota / Reportes / Junio",8,300
"79","Toyota / Takata 2019 / Reportes",8,75
"80","Walmart / Estrategia Digital / Reportes Mensuales 2019",8,15
