"","Marca","Mes","Tiempo"
"1","ACH Foods",6,60
"2","Apple",6,2250
"3","Blason",6,660
"4","Generación de leads Toyota Saltillo",6,630
"5","INVEX",6,60
"6","Lunave",6,9855
"7","MSD",6,2775
"8","Pitch Superama",6,660
"9","Pitch Walmart Ecommerce",6,240
"10","Richs",6,2595
"11","Singer",6,1410
"12","Toyota",6,9360
"13","Walmart",6,1410
"14","Zuma",6,60
"15","Apple",7,2430
"16","Blason",7,1770
"17","Generación de leads Toyota Saltillo",7,450
"18","Herdez",7,240
"19","INVEX",7,750
"20","Lunave",7,11940
"21","MSD",7,2115
"22","PITCH GREAT VALUE",7,210
"23","Richs",7,2220
"24","Singer",7,2025
"25","Toyota",7,9240
"26","Walmart",7,5550
"27","Blason",8,120
"28","Herdez",8,90
"29","Lunave",8,855
"30","MSD",8,75
"31","Singer",8,45
"32","Toyota",8,405
"33","Walmart",8,15
